nombre,temporada,posicion,edad,partidos,goles,asistencias,pases_precisos,rating,etiqueta
Diego Rivero,2013,Central Midfield,31,6,0,0,85.4,6.1,0
Joel Acosta,2013,Right Winger,22,7,0,0,68.0,6.1,0
Francesco Celeste,2013,Right Midfield,19,2,0,0,86.3,6.0,0
Franco Fragapane,2013,Left Winger,20,3,0,0,75.5,6.0,0
Santiago Silva,2012,Centre-Forward,31,30,12,1,70.6,7.7,1
Nicolás Blandi,2012,Centre-Forward,22,27,8,2,65.3,7.4,1
Lucas Viatri,2012,Centre-Forward,25,25,5,1,66.4,7.0,1
Walter Erviti,2012,Central Midfield,32,40,3,3,84.7,6.9,0
Pablo Ledesma,2012,Central Midfield,28,21,3,2,81.2,6.9,0
Guillermo Burdisso,2012,Centre-Back,23,32,3,2,85.3,6.8,0
Leandro Paredes,2012,Defensive Midfield,18,21,4,0,86.2,6.8,0
Juan Román Riquelme,2012,Attacking Midfield,34,13,2,1,88.9,6.8,0
Rolando Schiavi,2012,Centre-Back,39,19,3,0,85.7,6.7,0
Sebastián Palacios,2012,Right Winger,20,7,0,2,75.0,6.7,0
Juan Sánchez Miño,2012,Left-Back,22,29,1,1,86.6,6.6,0
Pol FernándezPol Fernández,2012,Central Midfield,20,24,2,0,80.6,6.6,0
Juan Manuel Martínez,2012,Right Winger,26,21,2,0,71.8,6.6,0
Lautaro Acosta,2012,Left Winger,24,27,0,3,65.4,6.6,0
Matías Caruzzo,2012,Centre-Back,27,31,1,0,85.1,6.5,0
Leandro Somoza,2012,Defensive Midfield,31,34,1,0,87.3,6.5,0
Cristian Erbes,2012,Defensive Midfield,22,26,0,2,87.6,6.5,0
Agustín Orión,2012,Goalkeeper,31,34,0,0,0.0,6.4,0
Nicolás Colazo,2012,Left-Back,21,24,0,1,78.7,6.4,0
Claudio Pérez,2012,Centre-Back,26,15,1,0,80.0,6.4,0
Clemente Rodríguez,2012,Left-Back,30,33,0,0,78.1,6.4,0
Emiliano Albín,2012,Right-Back,23,21,0,0,85.7,6.3,0
Nahuel Zárate,2012,Left-Back,19,13,0,1,79.2,6.3,0
Óscar UstariÓ. Ustari,2012,Goalkeeper,25,14,0,0,0.0,6.2,0
Franco Sosa,2012,Right-Back,31,14,0,0,86.2,6.2,0
Leandro Marín,2012,Right-Back,20,13,0,0,81.6,6.2,0
Ribair Rodríguez,2012,Defensive Midfield,24,12,0,0,87.1,6.2,0
Sebastián D’AngeloS. D’Angelo,2012,Goalkeeper,23,4,0,0,0.0,6.1,0
Lisandro Magallán,2012,Centre-Back,18,11,0,0,79.4,6.1,0
Christian Cellay,2012,Centre-Back,30,9,0,0,78.7,6.1,0
Gonzalo Escalante,2012,Central Midfield,19,6,0,0,83.3,6.1,0
Federico Bravo,2012,Central Midfield,18,11,0,0,83.1,6.1,0
Diego Rivero,2012,Central Midfield,30,6,0,0,86.4,6.1,0
Orlando Gaona Lugo,2012,Right Winger,21,5,0,0,71.4,6.1,0
Agustín García Basso,2012,Centre-Back,20,1,0,0,86.0,6.0,0
Fernando Evangelista,2012,Centre-Back,20,2,0,0,87.9,6.0,0
Cristian Álvarez,2012,Attacking Midfield,19,3,0,0,83.3,6.0,0
Francisco Di Franco,2012,Attacking Midfield,17,3,0,0,85.6,6.0,0
Juan Román Riquelme,2011,Attacking Midfield,33,38,8,9,89.7,7.6,1
Santiago Silva,2011,Centre-Forward,30,25,7,5,68.7,7.6,1
Nicolás Blandi,2011,Centre-Forward,21,23,9,0,69.6,7.5,1
Darío Cvitanich,2011,Centre-Forward,27,40,10,5,72.1,7.5,1
Pablo Mouche,2011,Left Winger,23,53,11,8,68.5,7.4,1
Lucas Viatri,2011,Centre-Forward,24,21,5,3,75.8,7.3,1
Walter Erviti,2011,Central Midfield,31,47,5,4,87.8,7.0,1
Juan Sánchez Miño,2011,Left-Back,21,36,5,1,80.6,6.9,0
Pablo Ledesma,2011,Central Midfield,27,29,4,1,89.4,6.9,0
Juan Manuel Insaurralde,2011,Centre-Back,26,43,4,0,87.7,6.8,0
Facundo Roncaglia,2011,Centre-Back,24,46,4,0,81.0,6.8,0
Clemente Rodríguez,2011,Left-Back,29,43,1,6,82.4,6.8,0
Cristian Chávez,2011,Attacking Midfield,25,43,2,4,86.0,6.8,0
Rolando Schiavi,2011,Centre-Back,38,48,2,1,84.8,6.7,0
Diego Rivero,2011,Central Midfield,29,38,1,2,81.8,6.7,0
Leandro Somoza,2011,Defensive Midfield,30,41,2,2,88.9,6.7,0
Sergio Araujo,2011,Centre-Forward,19,14,1,2,69.2,6.7,0
Orlando Gaona Lugo,2011,Right Winger,20,6,0,2,70.1,6.7,0
Nicolás Colazo,2011,Left-Back,20,13,1,1,86.1,6.6,0
Gastón Sauro,2011,Centre-Back,21,6,1,0,87.1,6.6,0
Pol FernándezPol Fernández,2011,Central Midfield,19,8,0,2,83.1,6.6,0
Agustín Orión,2011,Goalkeeper,30,48,0,0,0.0,6.5,0
Franco Sosa,2011,Right-Back,30,23,0,0,79.2,6.3,0
Matías Caruzzo,2011,Centre-Back,26,23,0,0,83.0,6.3,0
Cristian Erbes,2011,Defensive Midfield,21,22,0,0,89.2,6.3,0
Sebastián Sosa,2011,Goalkeeper,24,9,0,0,0.0,6.1,0
Enzo RuizEnzo Ruiz,2011,Centre-Back,22,4,0,0,78.3,6.1,0
Leandro Paredes,2011,Defensive Midfield,17,5,0,0,86.6,6.1,0
Cristian Álvarez,2011,Attacking Midfield,18,4,0,0,85.2,6.1,0
Sebastián D’AngeloS. D’Angelo,2011,Goalkeeper,22,2,0,0,0.0,6.0,0
Emanuel Insúa,2011,Left-Back,20,2,0,0,87.5,6.0,0
David Achucarro,2011,Centre-Back,20,1,0,0,79.0,6.0,0
Sebastián Battaglia,2011,Defensive Midfield,30,1,0,0,85.5,6.0,0
Jonathan Mazzola,2011,Defensive Midfield,20,1,0,0,80.9,6.0,0
Exequiel Benavídez,2011,Defensive Midfield,22,3,0,0,82.0,6.0,0
Franco Fragapane,2011,Left Winger,18,1,0,0,65.6,6.0,0
Martín Palermo,2010,Centre-Forward,36,38,14,3,72.9,7.8,1
Juan Román Riquelme,2010,Attacking Midfield,32,13,4,1,83.0,7.2,1
Lucas Viatri,2010,Centre-Forward,23,28,7,1,67.2,7.2,1
Pablo Mouche,2010,Left Winger,22,31,2,8,65.6,7.1,1
Juan Manuel Insaurralde,2010,Centre-Back,25,36,2,1,81.7,6.7,0
Nicolás Colazo,2010,Left-Back,19,18,3,0,87.5,6.7,0
Clemente Rodríguez,2010,Left-Back,28,27,1,3,84.0,6.7,0
Cristian Chávez,2010,Attacking Midfield,24,35,3,0,82.9,6.7,0
Sergio Araujo,2010,Centre-Forward,18,9,1,1,71.7,6.7,0
Christian Cellay,2010,Centre-Back,28,19,2,0,85.3,6.6,0
Matías Caruzzo,2010,Centre-Back,25,34,0,2,79.6,6.6,0
Sebastián Battaglia,2010,Defensive Midfield,29,19,1,1,81.8,6.5,0
Jesús Méndez,2010,Central Midfield,25,12,0,2,82.9,6.5,0
Leandro Somoza,2010,Defensive Midfield,29,16,0,2,86.1,6.5,0
Cristian Lucchetti,2010,Goalkeeper,32,26,0,1,0.0,6.4,0
Fabián Monzón,2010,Left-Back,23,22,0,1,78.6,6.4,0
Marcelo Cañete,2010,Attacking Midfield,20,7,0,1,82.1,6.4,0
Walter Erviti,2010,Central Midfield,30,16,1,0,85.2,6.4,0
Matías Giménez,2010,Left Midfield,25,14,1,0,81.4,6.4,0
Cristian Erbes,2010,Defensive Midfield,20,11,1,0,83.7,6.4,0
Javier García,2010,Goalkeeper,23,13,0,1,0.0,6.3,0
Diego Rivero,2010,Central Midfield,28,10,0,1,81.8,6.3,0
Gary Medel,2010,Defensive Midfield,22,17,0,0,88.3,6.2,0
Damián Escudero,2010,Attacking Midfield,23,13,0,0,84.6,6.2,0
José Calvo,2010,Right-Back,28,5,0,0,79.6,6.1,0
Enzo RuizEnzo Ruiz,2010,Centre-Back,21,6,0,0,85.1,6.1,0
Juan Sánchez Miño,2010,Left-Back,20,4,0,0,78.2,6.1,0
Ricardo Noir,2010,Attacking Midfield,23,8,0,0,84.3,6.1,0
Leandro Marín,2010,Right-Back,18,2,0,0,86.7,6.0,0
Gastón Sauro,2010,Centre-Back,20,3,0,0,84.0,6.0,0
Leandro Paredes,2010,Defensive Midfield,16,1,0,0,89.7,6.0,0
Esteban Orfano,2010,Right Midfield,18,2,0,0,87.9,6.0,0
Jonathan Mazzola,2010,Defensive Midfield,19,1,0,0,82.0,6.0,0
Orlando Gaona Lugo,2010,Right Winger,19,3,0,0,72.7,6.0,0
Joel Acosta,2010,Right Winger,19,1,0,0,65.8,6.0,0
Martín Palermo,2009,Centre-Forward,35,36,16,2,66.2,7.9,1
Juan Román Riquelme,2009,Attacking Midfield,31,24,3,12,88.1,7.7,1
Nico Gaitán,2009,Attacking Midfield,21,33,7,7,88.0,7.5,1
Sebastián Battaglia,2009,Defensive Midfield,28,10,3,2,88.1,7.4,1
Gary Medel,2009,Defensive Midfield,21,29,7,1,82.9,7.2,1
Federico Insúa,2009,Attacking Midfield,29,30,3,5,88.7,7.0,1
Matías Giménez,2009,Left Midfield,24,8,2,0,85.0,6.9,0
Lucas Viatri,2009,Centre-Forward,22,22,4,0,72.5,6.8,0
Fabián Monzón,2009,Left-Back,22,23,2,2,79.4,6.7,0
Pablo Mouche,2009,Left Winger,21,20,2,1,69.9,6.7,0
Guillermo Marino,2009,Central Midfield,28,18,2,0,85.1,6.6,0
Cristian Chávez,2009,Attacking Midfield,23,26,1,2,86.5,6.6,0
Gabriel Paletta,2009,Centre-Back,23,22,1,1,85.0,6.5,0
Ariel Rosada,2009,Defensive Midfield,31,23,0,2,88.0,6.5,0
Claudio Morel Rodríguez,2009,Left-Back,31,24,0,1,84.2,6.4,0
Juan Krupoviesa,2009,Left-Back,30,12,1,0,83.2,6.4,0
Cristian Erbes,2009,Defensive Midfield,19,20,1,0,87.0,6.4,0
Roberto Abbondanzieri,2009,Goalkeeper,36,22,0,0,0.0,6.3,0
Ezequiel Muñoz,2009,Centre-Back,18,15,0,1,79.0,6.3,0
Hugo Ibarra,2009,Right-Back,35,26,0,0,87.9,6.3,0
Javier García,2009,Goalkeeper,22,15,0,0,0.0,6.2,0
Gastón Sauro,2009,Centre-Back,19,5,0,0,85.4,6.1,0
Julio Barroso,2009,Centre-Back,24,7,0,0,85.0,6.1,0
Jesús Méndez,2009,Central Midfield,24,10,0,0,88.9,6.1,0
Josué Ayala,2009,Goalkeeper,21,1,0,0,0.0,6.0,0
Adrián Gunino,2009,Right-Back,20,1,0,0,86.8,6.0,0
Bréyner Bonilla,2009,Centre-Back,22,3,0,0,81.6,6.0,0
Sebastián Prediger,2009,Defensive Midfield,22,3,0,0,89.1,6.0,0
Santiago Villafañe,2009,Defensive Midfield,21,3,0,0,83.4,6.0,0
Martín Palermo,2008,Centre-Forward,34,26,12,6,72.2,8.2,1
Rodrigo Palacio,2008,Centre-Forward,26,27,10,6,77.2,7.9,1
Juan Román Riquelme,2008,Attacking Midfield,30,35,7,9,89.3,7.6,1
Lucas Viatri,2008,Centre-Forward,21,33,9,5,72.4,7.6,1
Luciano Figueroa,2008,Centre-Forward,27,21,8,1,74.0,7.5,1
Nico Gaitán,2008,Attacking Midfield,20,40,5,4,83.2,7.1,1
Neri Cardozo,2008,Attacking Midfield,21,2,0,1,88.5,7.0,0
Cristian Chávez,2008,Attacking Midfield,22,18,3,2,82.9,7.0,1
Fabián Vargas,2008,Central Midfield,28,38,2,7,83.9,7.0,1
Pablo Mouche,2008,Left Winger,20,29,2,3,67.2,6.8,0
Sebastián Battaglia,2008,Defensive Midfield,27,40,3,0,80.2,6.7,0
Leandro Gracián,2008,Attacking Midfield,25,21,2,1,84.3,6.7,0
Ricardo Noir,2008,Attacking Midfield,21,20,3,0,89.6,6.7,0
Facundo Roncaglia,2008,Centre-Back,21,30,2,0,83.8,6.6,0
Juan Forlín,2008,Centre-Back,20,30,2,0,80.8,6.6,0
Julio Cáceres,2008,Centre-Back,28,37,0,0,82.9,6.5,0
Claudio Morel Rodríguez,2008,Left-Back,30,31,0,2,80.0,6.5,0
Hugo Ibarra,2008,Right-Back,34,37,0,1,85.2,6.5,0
Roberto Abbondanzieri,2008,Goalkeeper,35,29,0,0,0.0,6.4,0
Juan Krupoviesa,2008,Left-Back,29,21,0,1,84.5,6.4,0
Álvaro GonzálezÁ. González,2008,Central Midfield,23,7,0,1,89.7,6.4,0
José Calvo,2008,Right-Back,26,10,0,1,78.2,6.3,0
Javier García,2008,Goalkeeper,21,14,0,0,0.0,6.2,0
Gabriel Paletta,2008,Centre-Back,22,18,0,0,87.4,6.2,0
Mauricio Caranta,2008,Goalkeeper,29,7,0,0,0.0,6.1,0
Gastón Sauro,2008,Centre-Back,18,5,0,0,79.8,6.1,0
Julio Barroso,2008,Centre-Back,23,4,0,0,87.5,6.1,0
Carlos Fondacaro,2008,Right-Back,21,5,0,0,87.1,6.1,0
Damián Díaz,2008,Attacking Midfield,22,6,0,0,83.7,6.1,0
Exequiel Benavídez,2008,Defensive Midfield,19,10,0,0,88.5,6.1,0
Josué Ayala,2008,Goalkeeper,20,1,0,0,0.0,6.0,0
Ezequiel Muñoz,2008,Centre-Back,17,3,0,0,83.0,6.0,0
Martín Palermo,2007,Centre-Forward,33,48,31,9,68.2,8.8,1
Rodrigo Palacio,2007,Centre-Forward,25,47,17,18,77.6,8.4,1
Juan Román Riquelme,2007,Attacking Midfield,29,22,7,8,86.5,8.0,1
Leandro Gracián,2007,Attacking Midfield,24,32,6,6,82.2,7.4,1
Jesús Dátolo,2007,Left Midfield,23,40,7,7,87.5,7.4,1
Lucas Viatri,2007,Centre-Forward,20,4,1,1,75.3,7.3,0
Mauro Boselli,2007,Centre-Forward,22,25,4,5,70.1,7.2,1
Neri Cardozo,2007,Attacking Midfield,20,36,3,6,82.4,7.1,1
Pablo Ledesma,2007,Central Midfield,23,38,6,1,86.9,7.0,1
Hugo Ibarra,2007,Right-Back,33,29,0,7,85.8,6.9,0
Ricardo Noir,2007,Attacking Midfield,20,9,1,2,86.6,6.9,0
Gabriel Paletta,2007,Centre-Back,21,32,4,0,84.6,6.8,0
Sebastián Battaglia,2007,Defensive Midfield,26,46,4,0,85.5,6.8,0
Álvaro GonzálezÁ. González,2007,Central Midfield,22,40,1,4,87.1,6.8,0
Claudio Morel Rodríguez,2007,Left-Back,29,42,0,4,86.9,6.7,0
Cristian Chávez,2007,Attacking Midfield,21,21,1,3,88.5,6.7,0
Nico Gaitán,2007,Attacking Midfield,19,5,1,0,83.7,6.7,0
Carlos Bueno,2007,Centre-Forward,27,9,1,1,76.6,6.7,0
Ezequiel Muñoz,2007,Centre-Back,16,4,0,1,81.4,6.6,0
Fabián Vargas,2007,Central Midfield,27,31,0,3,83.3,6.6,0
Pablo Mouche,2007,Left Winger,19,6,1,0,68.4,6.6,0
Nicolás Bertolo,2007,Left Winger,21,4,0,1,73.2,6.6,0
Mauricio Caranta,2007,Goalkeeper,28,45,0,0,0.0,6.5,0
Juan Forlín,2007,Centre-Back,19,7,1,0,87.0,6.5,0
Julio Cáceres,2007,Centre-Back,27,27,1,0,84.4,6.5,0
Jonatan Maidana,2007,Centre-Back,21,41,0,0,84.1,6.5,0
Éver BanegaÉ. Banega,2007,Central Midfield,19,16,0,2,81.6,6.5,0
Facundo Roncaglia,2007,Centre-Back,20,12,0,0,81.5,6.2,0
Fabián Monzón,2007,Left-Back,20,19,0,0,87.0,6.2,0
Javier García,2007,Goalkeeper,20,4,0,0,0.0,6.1,0
Pablo Migliore,2007,Goalkeeper,25,11,0,0,0.0,6.1,0
Matías Cahais,2007,Centre-Back,19,5,0,0,78.8,6.1,0
Juan Krupoviesa,2007,Left-Back,28,5,0,0,79.6,6.1,0
Bruno Urribarri,2007,Left-Back,20,6,0,0,78.1,6.1,0
Lucas Castromán,2007,Right Midfield,26,5,0,0,86.5,6.1,0
Matías Silvestre,2007,Centre-Back,22,2,0,0,85.3,6.0,0
Luis Ibáñez,2007,Left-Back,18,2,0,0,79.0,6.0,0
Carlos Fondacaro,2007,Right-Back,20,3,0,0,78.1,6.0,0
Exequiel Benavídez,2007,Defensive Midfield,18,1,0,0,85.7,6.0,0
Sebastián Nayar,2007,Central Midfield,19,1,0,0,80.9,6.0,0
Martín Palermo,2006,Centre-Forward,32,46,28,8,75.6,8.7,1
Rodrigo Palacio,2006,Centre-Forward,24,44,23,9,71.9,8.5,1
Juan Román Riquelme,2006,Attacking Midfield,28,26,10,11,83.9,8.3,1
Neri Cardozo,2006,Attacking Midfield,19,50,10,6,81.1,7.3,1
Mauro Boselli,2006,Centre-Forward,21,21,5,1,66.2,7.1,1
Pablo Ledesma,2006,Central Midfield,22,48,2,9,86.9,7.0,1
Bruno Marioni,2006,Left Winger,31,18,3,2,72.2,7.0,1
Claudio Morel Rodríguez,2006,Left-Back,28,45,1,6,78.9,6.8,0
Hugo Ibarra,2006,Right-Back,32,41,3,1,86.4,6.8,0
Cata DíazCata Díaz,2006,Centre-Back,26,41,3,2,81.2,6.8,0
Clemente Rodríguez,2006,Left-Back,24,27,3,2,84.8,6.8,0
Juan Krupoviesa,2006,Left-Back,27,12,2,1,83.1,6.8,0
Sebastián Battaglia,2006,Defensive Midfield,25,23,3,0,86.5,6.7,0
Guillermo Marino,2006,Central Midfield,25,21,2,1,81.4,6.7,0
Jesús Dátolo,2006,Left Midfield,22,34,2,2,89.2,6.7,0
Matías Silvestre,2006,Centre-Back,21,29,1,1,83.4,6.6,0
Fernando Gago,2006,Defensive Midfield,20,20,1,2,81.7,6.6,0
Guillermo Barros Schelotto,2006,Centre-Forward,33,16,1,2,73.6,6.6,0
Andrés Franzoia,2006,Centre-Forward,20,11,1,1,73.2,6.6,0
Nicolás Bertolo,2006,Left Winger,20,9,1,0,76.7,6.5,0
Mauricio Caranta,2006,Goalkeeper,27,31,0,0,0.0,6.4,0
Jonatan Maidana,2006,Centre-Back,20,23,1,0,83.9,6.4,0
Éver BanegaÉ. Banega,2006,Central Midfield,18,28,0,1,82.3,6.4,0
Sergio Orteman,2006,Defensive Midfield,27,20,1,0,83.4,6.4,0
Aldo Bobadilla,2006,Goalkeeper,30,22,0,0,0.0,6.3,0
José Calvo,2006,Right-Back,24,10,0,0,79.9,6.1,0
Bruno Urribarri,2006,Left-Back,19,4,0,0,78.4,6.1,0
Matías Cahais,2006,Centre-Back,18,7,0,0,78.2,6.1,0
Santiago Villafañe,2006,Defensive Midfield,18,4,0,0,88.8,6.1,0
Marcelo Delgado,2006,Centre-Forward,33,6,0,0,68.1,6.1,0
Marcos Mondaini,2006,Centre-Forward,21,4,0,0,76.7,6.1,0
Pablo Migliore,2006,Goalkeeper,24,3,0,0,0.0,6.0,0
Fabián Vargas,2006,Central Midfield,26,2,0,0,89.4,6.0,0
Cristian Chávez,2006,Attacking Midfield,20,2,0,0,82.6,6.0,0
Rodrigo Palacio,2005,Centre-Forward,23,36,22,0,69.8,8.3,1
Martín Palermo,2005,Centre-Forward,31,38,19,3,74.5,8.2,1
Federico Insúa,2005,Attacking Midfield,25,37,11,0,89.1,7.4,1
Daniel Bilos,2005,Left Midfield,24,33,4,1,86.7,6.9,0
Marcelo Delgado,2005,Centre-Forward,32,17,4,0,73.2,6.9,0
Cata DíazCata Díaz,2005,Centre-Back,25,40,4,0,83.0,6.8,0
Matías Silvestre,2005,Centre-Back,20,23,4,0,78.4,6.8,0
Guillermo Barros Schelotto,2005,Centre-Forward,32,24,3,1,68.1,6.8,0
Neri Cardozo,2005,Attacking Midfield,18,33,1,2,84.9,6.6,0
Hugo Ibarra,2005,Right-Back,31,26,1,0,80.5,6.5,0
Juan Krupoviesa,2005,Left-Back,26,33,1,0,84.1,6.5,0
Fernando Gago,2005,Defensive Midfield,19,37,0,1,80.5,6.5,0
Roberto Abbondanzieri,2005,Goalkeeper,32,33,0,0,0.0,6.4,0
Pablo Ledesma,2005,Central Midfield,21,25,1,0,87.6,6.4,0
Claudio Morel Rodríguez,2005,Left-Back,27,23,0,0,87.6,6.3,0
Rolando Schiavi,2005,Centre-Back,32,19,0,0,87.7,6.2,0
José Calvo,2005,Right-Back,23,17,0,0,81.0,6.2,0
Fabián Vargas,2005,Central Midfield,25,13,0,0,82.4,6.2,0
Guillermo Marino,2005,Central Midfield,24,16,0,0,81.4,6.2,0
Sebastián Battaglia,2005,Defensive Midfield,24,19,0,0,82.4,6.2,0
Ezequiel Medrán,2005,Goalkeeper,24,4,0,0,0.0,6.1,0
Diego Cagna,2005,Right Midfield,35,9,0,0,82.8,6.1,0
Pablo Migliore,2005,Goalkeeper,23,2,0,0,0.0,6.0,0
Julio Barroso,2005,Centre-Back,20,1,0,0,80.8,6.0,0
Jonatan Maidana,2005,Centre-Back,19,2,0,0,83.0,6.0,0
Fredy Guarín,2005,Central Midfield,19,2,0,0,89.9,6.0,0
Andrés Franzoia,2005,Centre-Forward,19,3,0,0,73.2,6.0,0
Martín Palermo,2004,Centre-Forward,30,41,22,6,77.3,8.4,1
Rodrigo Palacio,2004,Centre-Forward,22,31,10,6,74.1,7.8,1
Andrés Guglielminpietro,2004,Left Midfield,30,33,11,5,82.2,7.7,1
Neri Cardozo,2004,Attacking Midfield,17,42,7,8,84.2,7.4,1
Guillermo Barros Schelotto,2004,Centre-Forward,31,27,4,6,69.4,7.2,1
Diego Cagna,2004,Right Midfield,34,40,7,1,88.2,7.1,1
Rolando Schiavi,2004,Centre-Back,31,42,6,2,86.0,7.0,1
BaianoBaiano,2004,Right-Back,26,15,2,3,83.4,7.0,1
Marcelo Delgado,2004,Centre-Forward,31,28,3,3,71.7,6.9,0
Mauro Boselli,2004,Centre-Forward,19,10,2,1,69.7,6.9,0
Fernando Gago,2004,Defensive Midfield,18,24,0,4,80.1,6.6,0
Roberto Abbondanzieri,2004,Goalkeeper,31,50,0,0,0.0,6.5,0
Claudio Morel Rodríguez,2004,Left-Back,26,33,0,1,79.9,6.5,0
José Calvo,2004,Right-Back,22,33,0,1,87.0,6.5,0
Raúl Cascini,2004,Defensive Midfield,33,26,0,2,84.3,6.5,0
Pablo Ledesma,2004,Central Midfield,20,34,1,0,81.2,6.5,0
Cristian Traverso,2004,Centre-Back,32,23,0,1,80.3,6.4,0
Matías Donnet,2004,Attacking Midfield,24,21,0,1,85.1,6.4,0
Pablo Jerez,2004,Right-Back,20,9,0,1,86.9,6.3,0
Fabián Vargas,2004,Central Midfield,24,25,0,0,88.6,6.3,0
Aníbal Matellán,2004,Centre-Back,27,19,0,0,86.1,6.2,0
Matías Silvestre,2004,Centre-Back,19,15,0,0,81.2,6.2,0
Pablo Álvarez,2004,Right-Back,20,16,0,0,79.1,6.2,0
Ezequiel Medrán,2004,Goalkeeper,23,7,0,0,0.0,6.1,0
Luis Miguel Escalada,2004,Centre-Forward,18,8,0,0,69.2,6.1,0
Carlos Tévez,2003,Centre-Forward,19,43,18,10,66.0,8.2,1
Guillermo Barros Schelotto,2003,Centre-Forward,30,33,10,9,68.0,7.9,1
Antonio Barijho,2003,Centre-Forward,26,19,8,1,73.2,7.6,1
Matías Donnet,2003,Attacking Midfield,23,34,7,5,80.3,7.4,1
Neri Cardozo,2003,Attacking Midfield,16,24,5,5,89.1,7.4,1
Javier Villarreal,2003,Right Midfield,24,29,6,4,83.1,7.3,1
Franco Cángele,2003,Second Striker,18,31,6,4,75.5,7.2,1
IarleyIarley,2003,Centre-Forward,29,34,5,2,68.8,7.0,1
Rolando Schiavi,2003,Centre-Back,30,52,5,0,81.1,6.8,0
Clemente Rodríguez,2003,Left-Back,21,37,3,2,81.3,6.8,0
Sebastián Battaglia,2003,Defensive Midfield,22,18,3,1,85.2,6.8,0
Nicolás Burdisso,2003,Centre-Back,22,39,2,0,84.4,6.7,0
Diego Cagna,2003,Right Midfield,33,46,2,2,84.3,6.7,0
Fabián Vargas,2003,Central Midfield,23,33,2,2,81.1,6.7,0
José Calvo,2003,Right-Back,21,29,1,2,82.7,6.6,0
Raúl Cascini,2003,Defensive Midfield,32,47,1,1,85.1,6.6,0
Roberto Colautti,2003,Centre-Forward,21,11,1,1,67.1,6.6,0
Roberto Abbondanzieri,2003,Goalkeeper,30,54,0,1,0.0,6.5,0
Pablo Jerez,2003,Right-Back,19,29,0,2,85.3,6.5,0
Raúl Estévez,2003,Right Winger,25,10,0,2,77.1,6.5,0
Miguel Caneo,2003,Attacking Midfield,20,19,1,0,82.5,6.4,0
Diego Crosa,2003,Centre-Back,27,13,0,0,86.9,6.2,0
Willy CaballeroWilly Caballero,2003,Goalkeeper,21,8,0,0,0.0,6.1,0
Matías Silvestre,2003,Centre-Back,18,6,0,0,79.2,6.1,0
Joel Barbosa,2003,Right-Back,20,7,0,0,85.1,6.1,0
Pablo Álvarez,2003,Right-Back,19,10,0,0,85.6,6.1,0
Pablo Ledesma,2003,Central Midfield,19,10,0,0,80.3,6.1,0
Víctor Ormazabal,2003,Central Midfield,18,7,0,0,87.6,6.1,0
Facundo Imboden,2003,Centre-Back,23,1,0,0,83.6,6.0,0
Federico León,2003,Centre-Back,18,1,0,0,85.7,6.0,0
Mikael Yourassowsky,2003,Left-Back,20,2,0,0,82.9,6.0,0
César La Paglia,2003,Attacking Midfield,24,1,0,0,86.4,6.0,0
Héctor Carballo,2003,Defensive Midfield,23,1,0,0,84.1,6.0,0
Mauro Boselli,2003,Centre-Forward,18,1,0,0,76.3,6.0,0
Carlos Tévez,2002,Centre-Forward,18,42,16,15,66.5,8.4,1
Marcelo Delgado,2002,Centre-Forward,29,45,18,13,73.1,8.3,1
Guillermo Barros Schelotto,2002,Centre-Forward,29,29,15,3,66.0,8.1,1
Alfredo Moreno,2002,Centre-Forward,22,11,5,0,69.7,7.5,1
Jonathan Fabbro,2002,Attacking Midfield,20,7,2,1,82.0,7.2,1
Rolando Schiavi,2002,Centre-Back,29,33,6,0,87.2,7.0,1
Ezequiel González,2002,Attacking Midfield,21,26,4,2,80.7,7.0,1
Matías Donnet,2002,Attacking Midfield,22,31,5,1,87.7,7.0,1
Hugo Ibarra,2002,Right-Back,28,35,4,1,80.0,6.9,0
Raúl Estévez,2002,Right Winger,24,26,1,6,69.3,6.9,0
Clemente Rodríguez,2002,Left-Back,20,47,2,5,78.9,6.8,0
Sebastián Battaglia,2002,Defensive Midfield,21,37,3,2,81.4,6.8,0
Javier Villarreal,2002,Right Midfield,23,26,3,2,80.1,6.8,0
Raúl Cascini,2002,Defensive Midfield,31,40,1,3,88.2,6.7,0
José Calvo,2002,Right-Back,20,11,1,1,86.3,6.6,0
Franco Cángele,2002,Second Striker,17,13,2,0,65.8,6.6,0
Roberto Abbondanzieri,2002,Goalkeeper,29,49,0,0,0.0,6.5,0
Nicolás Burdisso,2002,Centre-Back,21,45,0,0,78.5,6.5,0
Diego Crosa,2002,Centre-Back,26,44,0,1,81.3,6.5,0
Matías Silvestre,2002,Centre-Back,17,8,1,0,83.4,6.5,0
Gustavo Pinto,2002,Central Midfield,23,25,1,1,87.1,6.5,0
Diego Cagna,2002,Right Midfield,32,24,0,1,88.0,6.4,0
Miguel Caneo,2002,Attacking Midfield,19,14,1,0,87.3,6.4,0
Pablo Jerez,2002,Right-Back,18,14,0,0,81.9,6.2,0
Willy CaballeroWilly Caballero,2002,Goalkeeper,20,7,0,0,0.0,6.1,0
Luis Amaranto Perea,2002,Centre-Back,23,4,0,0,80.7,6.1,0
Pablo Álvarez,2002,Right-Back,18,4,0,0,81.6,6.1,0
César González,2002,Centre-Back,20,5,0,0,80.8,6.1,0
Gustavo Eberto,2002,Goalkeeper,18,1,0,0,0.0,6.0,0
Fabián Vargas,2002,Central Midfield,22,3,0,0,89.9,6.0,0
